,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.78,0.44,-0.05,1.59,0.02,0.01,747.0,1536.0,1.03
beta_id[0],-0.54,0.79,-2.02,0.94,0.01,0.01,3584.0,10623.0,1.0
beta_id[1],-5.24,1.03,-7.17,-3.31,0.02,0.02,1675.0,6063.0,1.01
beta_id[2],3.26,0.79,1.76,4.73,0.01,0.01,3415.0,10584.0,1.01
beta_id[3],-5.32,1.53,-8.11,-2.35,0.04,0.03,1349.0,2366.0,1.01
beta_id[4],-0.83,1.04,-2.8,1.11,0.03,0.02,1657.0,5874.0,1.01
beta_id[5],1.66,0.79,0.16,3.11,0.01,0.01,3484.0,11088.0,1.0
beta_id[6],-1.7,0.79,-3.19,-0.21,0.01,0.01,3221.0,10017.0,1.01
beta_id[7],1.0,0.79,-0.49,2.46,0.01,0.01,3548.0,10604.0,1.0
beta_id[8],-5.43,2.11,-9.46,-1.54,0.06,0.04,1194.0,2074.0,1.02
beta_id[9],-0.23,0.79,-1.71,1.25,0.01,0.01,3215.0,10672.0,1.01
beta_id[10],1.92,0.8,0.43,3.42,0.01,0.01,3612.0,11660.0,1.0
beta_id[11],-0.73,0.8,-2.24,0.74,0.01,0.01,3206.0,9971.0,1.01
beta_id[12],0.89,0.78,-0.62,2.31,0.01,0.01,3556.0,12228.0,1.0
beta_id[13],1.19,0.81,-0.31,2.74,0.02,0.01,2943.0,9263.0,1.01
beta_id[14],0.78,0.79,-0.7,2.27,0.01,0.01,3684.0,11129.0,1.0
beta_id[15],-1.78,0.79,-3.26,-0.3,0.01,0.01,3659.0,11959.0,1.0
beta_id[16],0.12,0.82,-1.44,1.65,0.02,0.01,2744.0,8586.0,1.01
beta_id[17],0.21,0.81,-1.33,1.72,0.01,0.01,3464.0,10508.0,1.0
beta_id[18],1.88,1.36,-0.64,4.48,0.04,0.02,1433.0,2517.0,1.01
beta_id[19],2.27,0.79,0.77,3.72,0.01,0.01,3533.0,10899.0,1.0
beta_id[20],-0.42,0.82,-1.97,1.12,0.02,0.01,2740.0,7827.0,1.01
beta_id[21],-4.47,0.96,-6.28,-2.67,0.02,0.02,2136.0,5196.0,1.01
beta_id[22],-1.57,0.8,-3.08,-0.08,0.01,0.01,3613.0,11485.0,1.0
beta_id[23],-2.65,1.07,-4.63,-0.61,0.03,0.02,1591.0,4654.0,1.01
beta_id[24],1.48,1.07,-0.52,3.48,0.03,0.02,1614.0,5389.0,1.01
beta_id[25],1.18,0.82,-0.34,2.74,0.02,0.01,2789.0,8417.0,1.01
beta_id[26],-0.15,0.8,-1.67,1.34,0.02,0.01,2998.0,9767.0,1.01
beta_id[27],-0.41,0.8,-1.92,1.07,0.01,0.01,3089.0,10085.0,1.01
beta_id[28],1.63,0.8,0.09,3.1,0.01,0.01,3526.0,11451.0,1.0
beta_id[29],1.1,0.8,-0.38,2.62,0.01,0.01,3708.0,12451.0,1.0
beta_id[30],-1.51,0.79,-3.01,-0.03,0.01,0.01,3669.0,12279.0,1.0
beta_id[31],-0.3,0.78,-1.79,1.15,0.01,0.01,3642.0,11560.0,1.0
beta_id[32],-2.62,1.25,-4.99,-0.29,0.03,0.02,1528.0,2895.0,1.01
beta_id[33],-5.49,1.06,-7.44,-3.46,0.03,0.02,1637.0,5276.0,1.01
beta_id[34],0.64,0.79,-0.84,2.12,0.01,0.01,3490.0,10631.0,1.0
beta_id[35],0.93,0.81,-0.6,2.45,0.02,0.01,2883.0,9320.0,1.01
beta_id[36],1.23,0.8,-0.27,2.75,0.02,0.01,3019.0,9358.0,1.01
beta_id[37],-0.89,0.81,-2.39,0.64,0.02,0.01,2883.0,9287.0,1.01
beta_id[38],-2.6,0.86,-4.18,-0.93,0.02,0.01,2784.0,8755.0,1.01
beta_id[39],0.07,0.82,-1.49,1.58,0.02,0.01,2729.0,8278.0,1.01
beta_id[40],0.52,1.22,-1.73,2.84,0.04,0.02,1234.0,4192.0,1.01
beta_id[41],-1.4,0.79,-2.88,0.11,0.01,0.01,3639.0,11800.0,1.0
beta_id[42],0.29,0.8,-1.17,1.82,0.01,0.01,3183.0,10479.0,1.01
beta_id[43],-0.19,0.81,-1.69,1.34,0.02,0.01,2994.0,9246.0,1.01
beta_id[44],-0.33,0.81,-1.85,1.2,0.02,0.01,2861.0,8564.0,1.01
beta_id[45],0.04,0.82,-1.48,1.6,0.02,0.01,2665.0,8718.0,1.01
beta_id[46],0.13,0.82,-1.44,1.65,0.02,0.01,2624.0,7745.0,1.01
beta_id[47],-0.86,0.8,-2.33,0.68,0.02,0.01,3036.0,9543.0,1.01
beta_id[48],-1.1,0.79,-2.6,0.36,0.01,0.01,3583.0,12195.0,1.0
beta_id[49],4.4,0.79,2.91,5.88,0.01,0.01,3675.0,12140.0,1.0
beta_id[50],-0.72,0.81,-2.24,0.79,0.02,0.01,2942.0,8460.0,1.01
beta_id[51],1.0,0.82,-0.56,2.52,0.02,0.01,2742.0,8645.0,1.01
beta_id[52],1.78,0.86,0.19,3.41,0.02,0.01,2895.0,8813.0,1.01
beta_id[53],0.38,0.8,-1.13,1.87,0.01,0.01,3116.0,9177.0,1.01
beta_id[54],-0.2,0.81,-1.72,1.31,0.01,0.01,3468.0,10768.0,1.0
beta_id[55],-1.08,0.8,-2.6,0.41,0.01,0.01,3444.0,12219.0,1.0
beta_id[56],-0.12,0.79,-1.62,1.35,0.01,0.01,3459.0,10020.0,1.0
beta_id[57],-1.35,0.79,-2.82,0.15,0.01,0.01,3562.0,11789.0,1.0
beta_id[58],1.04,0.79,-0.44,2.53,0.01,0.01,3581.0,11497.0,1.0
beta_id[59],-0.56,0.81,-2.08,0.97,0.02,0.01,2637.0,7276.0,1.01
beta_id[60],1.78,0.82,0.24,3.34,0.02,0.01,3193.0,10084.0,1.01
beta_id[61],-0.62,0.79,-2.11,0.87,0.01,0.01,3098.0,9194.0,1.01
beta_id[62],6.97,0.89,5.27,8.61,0.02,0.01,2576.0,7006.0,1.01
beta_id[63],0.1,0.78,-1.38,1.56,0.01,0.01,3612.0,10520.0,1.0
beta_id[64],-1.44,0.78,-2.91,0.04,0.01,0.01,3618.0,10778.0,1.0
beta_id[65],1.86,0.8,0.36,3.37,0.01,0.01,3451.0,11318.0,1.0
beta_id[66],0.61,0.8,-0.88,2.1,0.01,0.01,3239.0,10057.0,1.01
beta_id[67],4.32,1.03,2.42,6.27,0.02,0.02,1639.0,5878.0,1.01
beta_id[68],-3.11,0.82,-4.64,-1.56,0.02,0.01,3219.0,10644.0,1.0
beta_id[69],-4.7,1.04,-6.62,-2.71,0.03,0.02,1649.0,5579.0,1.01
beta_id[70],0.23,0.78,-1.25,1.7,0.01,0.01,3527.0,11649.0,1.0
beta_id[71],-0.98,0.79,-2.45,0.5,0.01,0.01,3268.0,10364.0,1.01
beta_id[72],-0.69,0.8,-2.17,0.85,0.02,0.01,2927.0,9372.0,1.01
beta_id[73],2.95,0.79,1.48,4.44,0.01,0.01,3582.0,12524.0,1.0
beta_id[74],-3.54,0.96,-5.34,-1.75,0.02,0.01,2196.0,5859.0,1.01
beta_id[75],0.61,0.8,-0.9,2.12,0.02,0.01,3027.0,10670.0,1.01
beta_id[76],-0.34,0.91,-2.04,1.38,0.02,0.01,2377.0,6167.0,1.01
beta_id[77],-1.33,0.78,-2.81,0.14,0.01,0.01,3541.0,11550.0,1.0
beta_id[78],2.93,0.82,1.41,4.49,0.01,0.01,3229.0,9821.0,1.0
beta_id[79],1.94,1.06,-0.12,3.9,0.02,0.02,1804.0,3783.0,1.01
beta_id[80],-4.21,1.02,-6.12,-2.26,0.02,0.02,1897.0,4191.0,1.01
beta_id[81],-0.91,0.79,-2.42,0.56,0.01,0.01,3124.0,10145.0,1.01
beta_id[82],-0.6,0.8,-2.09,0.93,0.01,0.01,3473.0,11597.0,1.0
beta_id[83],0.25,0.84,-1.31,1.83,0.02,0.01,3018.0,9992.0,1.01
beta_id[84],0.13,0.79,-1.37,1.62,0.01,0.01,3116.0,10787.0,1.01
beta_id[85],-2.43,0.93,-4.2,-0.68,0.02,0.01,2267.0,5622.0,1.01
beta_id[86],-0.1,0.81,-1.6,1.44,0.02,0.01,2820.0,8524.0,1.01
beta_id[87],-0.32,0.78,-1.81,1.13,0.01,0.01,3560.0,11220.0,1.0
beta_id[88],-0.75,0.81,-2.27,0.77,0.02,0.01,2910.0,9448.0,1.01
beta_id[89],-1.24,0.79,-2.73,0.26,0.01,0.01,3509.0,10745.0,1.0
beta_id[90],0.35,0.82,-1.2,1.89,0.02,0.01,2700.0,8586.0,1.01
beta_id[91],1.66,0.8,0.16,3.19,0.02,0.01,3023.0,8779.0,1.01
beta_id[92],-0.27,0.82,-1.8,1.26,0.02,0.01,2679.0,8695.0,1.01
beta_id[93],-0.4,0.79,-1.86,1.12,0.01,0.01,3516.0,11003.0,1.0
beta_id[94],-0.39,0.78,-1.88,1.06,0.01,0.01,3532.0,10477.0,1.0
beta_id[95],-2.42,0.89,-4.12,-0.76,0.02,0.01,2492.0,6748.0,1.01
beta_id[96],1.61,0.86,-0.01,3.21,0.02,0.01,2845.0,8563.0,1.01
beta_id[97],-0.28,0.8,-1.74,1.26,0.02,0.01,2990.0,9460.0,1.01
beta_id[98],-0.6,0.81,-2.11,0.92,0.02,0.01,2892.0,9570.0,1.01
beta_id[99],-0.81,0.79,-2.29,0.67,0.01,0.01,3427.0,11077.0,1.0
beta_id[100],-2.4,0.81,-3.95,-0.89,0.01,0.01,3263.0,10023.0,1.01
beta_id[101],3.74,0.79,2.24,5.21,0.01,0.01,3676.0,12160.0,1.0
beta_id[102],2.24,0.79,0.77,3.74,0.01,0.01,3403.0,11325.0,1.01
beta_id[103],-0.41,0.79,-1.87,1.09,0.01,0.01,3662.0,11626.0,1.0
beta_id[104],-0.67,0.82,-2.22,0.89,0.02,0.01,2682.0,7942.0,1.01
beta_id[105],-2.73,0.91,-4.43,-1.01,0.02,0.01,2470.0,6976.0,1.01
beta_id[106],-4.49,0.98,-6.31,-2.62,0.02,0.02,2048.0,4839.0,1.01
beta_id[107],-1.9,0.8,-3.42,-0.41,0.01,0.01,3500.0,11102.0,1.0
beta_id[108],5.42,0.81,3.88,6.93,0.02,0.01,3010.0,9867.0,1.01
beta_id[109],-0.66,0.79,-2.17,0.78,0.01,0.01,3517.0,11978.0,1.0
beta_id[110],-1.18,1.14,-3.29,0.98,0.03,0.02,1657.0,3089.0,1.01
beta_id[111],1.0,0.8,-0.5,2.5,0.01,0.01,3246.0,9575.0,1.01
beta_id[112],-2.23,0.82,-3.73,-0.66,0.01,0.01,3264.0,10142.0,1.0
beta_id[113],-0.76,0.95,-2.56,1.02,0.02,0.01,2188.0,5348.0,1.01
beta_id[114],-0.22,0.8,-1.72,1.27,0.01,0.01,3138.0,10295.0,1.01
beta_id[115],-2.42,0.79,-3.89,-0.93,0.01,0.01,3610.0,12656.0,1.0
beta_id[116],0.46,0.81,-1.07,1.97,0.02,0.01,2899.0,9136.0,1.01
beta_id[117],2.0,0.79,0.55,3.51,0.01,0.01,3412.0,10348.0,1.0
beta_id[118],0.0,0.79,-1.46,1.5,0.01,0.01,3671.0,12252.0,1.0
beta_id[119],1.83,0.8,0.34,3.34,0.01,0.01,3048.0,8720.0,1.01
beta_id[120],-1.14,0.79,-2.6,0.35,0.01,0.01,3608.0,12420.0,1.0
beta_id[121],1.55,0.82,0.04,3.11,0.01,0.01,3302.0,9667.0,1.01
beta_id[122],-0.67,0.83,-2.23,0.88,0.02,0.01,2635.0,8700.0,1.01
beta_id[123],0.46,0.98,-1.34,2.33,0.02,0.02,2083.0,5296.0,1.01
beta_id[124],0.63,0.83,-0.92,2.19,0.02,0.01,2589.0,8252.0,1.01
beta_id[125],-4.0,1.08,-6.06,-1.98,0.03,0.02,1798.0,3780.0,1.01
beta_id[126],0.57,0.8,-0.9,2.1,0.01,0.01,3095.0,10282.0,1.01
beta_id[127],-0.46,0.8,-1.96,1.04,0.01,0.01,3208.0,9790.0,1.01
beta_id[128],0.84,0.8,-0.66,2.33,0.02,0.01,2977.0,9608.0,1.01
beta_id[129],-0.6,0.78,-2.07,0.89,0.01,0.01,3332.0,11144.0,1.0
beta_id[130],-0.39,0.8,-1.88,1.12,0.01,0.01,3176.0,9316.0,1.01
beta_id[131],-0.34,0.8,-1.83,1.18,0.02,0.01,2996.0,9732.0,1.01
beta_id[132],-3.26,0.86,-4.89,-1.65,0.02,0.01,2763.0,7861.0,1.01
beta_id[133],-0.35,0.82,-1.91,1.18,0.02,0.01,2710.0,7292.0,1.01
beta_id[134],0.2,0.81,-1.33,1.69,0.02,0.01,2812.0,8766.0,1.01
beta_id[135],0.73,0.82,-0.79,2.29,0.02,0.01,2727.0,8565.0,1.01
beta_id[136],0.12,0.82,-1.42,1.66,0.02,0.01,2777.0,9054.0,1.01
beta_id[137],-6.14,1.05,-8.07,-4.14,0.03,0.02,1612.0,5368.0,1.01
beta_id[138],-0.66,0.82,-2.16,0.92,0.02,0.01,2749.0,8542.0,1.01
beta_id[139],0.19,0.81,-1.34,1.72,0.02,0.01,2819.0,8687.0,1.01
beta_id[140],-1.24,0.81,-2.71,0.32,0.01,0.01,3452.0,11866.0,1.0
beta_id[141],-0.23,0.8,-1.73,1.26,0.01,0.01,3038.0,9697.0,1.01
beta_id[142],4.08,0.8,2.6,5.58,0.01,0.01,3137.0,9421.0,1.01
beta_id[143],-0.39,0.83,-1.98,1.15,0.02,0.01,2727.0,8741.0,1.01
beta_id[144],1.18,1.02,-0.76,3.06,0.02,0.02,1657.0,6474.0,1.01
beta_id[145],0.62,0.8,-0.88,2.13,0.01,0.01,3264.0,11226.0,1.01
beta_id[146],-0.04,0.82,-1.57,1.5,0.02,0.01,2665.0,8259.0,1.01
beta_id[147],0.22,0.79,-1.28,1.68,0.01,0.01,3603.0,11700.0,1.0
beta_id[148],0.84,0.79,-0.62,2.36,0.01,0.01,3374.0,10244.0,1.01
beta_id[149],-2.33,0.81,-3.85,-0.82,0.01,0.01,3546.0,11655.0,1.0
beta_id[150],0.87,0.82,-0.68,2.39,0.02,0.01,2717.0,8231.0,1.01
beta_id[151],0.01,0.81,-1.49,1.54,0.02,0.01,3090.0,9462.0,1.01
beta_id[152],1.89,0.81,0.37,3.43,0.02,0.01,2855.0,8983.0,1.01
beta_id[153],8.32,0.81,6.74,9.78,0.02,0.01,3042.0,9622.0,1.01
beta_id[154],1.13,0.82,-0.41,2.7,0.02,0.01,2600.0,7706.0,1.01
beta_id[155],-3.12,0.9,-4.79,-1.39,0.02,0.01,2511.0,6896.0,1.01
beta_id[156],-0.1,0.79,-1.62,1.35,0.01,0.01,3184.0,10291.0,1.01
beta_id[157],1.16,0.82,-0.36,2.74,0.02,0.01,2764.0,7517.0,1.01
beta_id[158],3.64,0.81,2.09,5.15,0.02,0.01,2818.0,8519.0,1.01
beta_id[159],0.46,0.79,-1.03,1.96,0.01,0.01,3200.0,10164.0,1.01
beta_id[160],-2.24,0.84,-3.82,-0.67,0.02,0.01,3081.0,9572.0,1.01
beta_id[161],0.68,0.8,-0.82,2.21,0.02,0.01,2871.0,9074.0,1.01
beta_id[162],-1.08,0.79,-2.54,0.4,0.01,0.01,3487.0,10575.0,1.0
beta_id[163],1.28,1.02,-0.6,3.24,0.02,0.02,1630.0,5868.0,1.01
beta_id[164],-0.39,0.78,-1.86,1.1,0.01,0.01,3607.0,11090.0,1.0
beta_id[165],-0.16,0.8,-1.67,1.33,0.01,0.01,3052.0,9399.0,1.01
beta_id[166],-2.53,0.87,-4.16,-0.9,0.02,0.01,2713.0,8114.0,1.01
beta_id[167],0.33,0.82,-1.2,1.89,0.02,0.01,2726.0,8438.0,1.01
beta_id[168],0.14,0.79,-1.35,1.62,0.01,0.01,3287.0,9611.0,1.01
beta_id[169],0.58,0.82,-0.95,2.14,0.02,0.01,2653.0,8635.0,1.01
beta_id[170],-0.76,0.82,-2.32,0.76,0.02,0.01,2787.0,9264.0,1.01
beta_id[171],7.15,0.79,5.68,8.68,0.01,0.01,3531.0,11544.0,1.0
beta_id[172],1.23,0.81,-0.29,2.76,0.02,0.01,2767.0,8738.0,1.01
beta_id[173],0.49,0.8,-1.01,2.01,0.01,0.01,3658.0,12118.0,1.0
beta_id[174],2.07,0.8,0.6,3.6,0.01,0.01,3292.0,9747.0,1.0
beta_id[175],0.51,0.8,-1.0,2.0,0.02,0.01,3042.0,9872.0,1.01
beta_id[176],6.21,1.04,4.23,8.13,0.03,0.02,1651.0,5376.0,1.01
beta_id[177],-0.96,0.79,-2.44,0.55,0.01,0.01,3306.0,10008.0,1.01
beta_id[178],4.53,0.79,3.06,6.05,0.01,0.01,3627.0,10353.0,1.0
beta_id[179],-5.95,1.05,-7.92,-3.98,0.03,0.02,1646.0,5516.0,1.01
beta_id[180],0.23,0.83,-1.34,1.77,0.02,0.01,2654.0,8353.0,1.01
beta_id[181],15.54,1.05,13.56,17.51,0.02,0.02,1724.0,5689.0,1.01
beta_id[182],4.62,1.33,2.1,7.1,0.04,0.02,1468.0,2673.0,1.01
beta_id[183],-1.04,1.02,-2.95,0.88,0.02,0.02,1608.0,6233.0,1.01
beta_id[184],-0.11,0.8,-1.63,1.38,0.01,0.01,3592.0,11929.0,1.0
beta_id[185],-1.02,0.8,-2.52,0.46,0.01,0.01,3630.0,11400.0,1.0
beta_id[186],0.97,0.83,-0.62,2.51,0.02,0.01,3091.0,9659.0,1.01
beta_id[187],3.19,0.79,1.73,4.7,0.01,0.01,3293.0,11067.0,1.01
beta_id[188],0.32,0.79,-1.17,1.79,0.01,0.01,3661.0,11172.0,1.0
beta_id[189],1.63,0.84,0.02,3.18,0.02,0.01,3009.0,8759.0,1.01
beta_id[190],0.01,0.82,-1.52,1.56,0.02,0.01,2687.0,8105.0,1.01
beta_id[191],0.38,0.82,-1.18,1.91,0.02,0.01,2663.0,8581.0,1.01
beta_id[192],-5.64,1.08,-7.66,-3.61,0.03,0.02,1573.0,5049.0,1.01
beta_id[193],0.96,0.79,-0.52,2.46,0.01,0.01,3281.0,9643.0,1.01
beta_id[194],2.61,0.79,1.12,4.08,0.01,0.01,3297.0,11215.0,1.01
beta_id[195],-8.78,1.04,-10.74,-6.85,0.03,0.02,1564.0,6135.0,1.01
beta_id[196],-3.89,1.06,-5.85,-1.86,0.03,0.02,1621.0,5220.0,1.01
beta_id[197],-0.83,0.79,-2.33,0.64,0.01,0.01,3298.0,9873.0,1.01
beta_id[198],0.96,0.82,-0.61,2.48,0.02,0.01,2606.0,8384.0,1.01
beta_id[199],8.32,0.79,6.83,9.81,0.01,0.01,3549.0,12066.0,1.0
beta_id[200],-0.48,0.8,-1.99,1.03,0.01,0.01,3109.0,10322.0,1.01
beta_id[201],-0.84,1.02,-2.78,1.06,0.03,0.02,1599.0,6480.0,1.0
beta_id[202],1.56,0.79,0.08,3.05,0.01,0.01,3552.0,12153.0,1.0
beta_id[203],0.65,0.8,-0.86,2.17,0.01,0.01,3569.0,12526.0,1.0
beta_id[204],0.06,0.81,-1.46,1.6,0.02,0.01,2769.0,8071.0,1.01
beta_id[205],-4.9,1.88,-8.43,-1.35,0.06,0.04,1145.0,2359.0,1.01
beta_id[206],-4.1,1.03,-6.06,-2.19,0.03,0.02,1539.0,5627.0,1.01
beta_id[207],-1.11,1.05,-3.12,0.82,0.03,0.02,1646.0,5558.0,1.01
beta_id[208],0.9,0.82,-0.64,2.44,0.02,0.01,2551.0,7801.0,1.01
beta_id[209],1.95,0.78,0.46,3.39,0.01,0.01,3428.0,10332.0,1.01
beta_id[210],-1.15,1.29,-3.54,1.32,0.03,0.02,1492.0,2615.0,1.01
beta_id[211],7.59,1.04,5.64,9.57,0.03,0.02,1632.0,5388.0,1.01
beta_id[212],-4.76,1.02,-6.62,-2.79,0.03,0.02,1595.0,6422.0,1.01
beta_id[213],-2.03,0.8,-3.53,-0.51,0.01,0.01,3327.0,11483.0,1.0
beta_id[214],-0.11,0.89,-1.77,1.59,0.02,0.01,2522.0,7823.0,1.01
beta_id[215],1.42,1.05,-0.61,3.38,0.02,0.02,1820.0,3793.0,1.01
beta_id[216],-1.45,0.8,-2.94,0.06,0.01,0.01,3145.0,9904.0,1.01
beta_id[217],-0.77,0.81,-2.29,0.76,0.02,0.01,2884.0,8452.0,1.01
beta_id[218],3.13,0.81,1.62,4.68,0.02,0.01,2760.0,8608.0,1.01
beta_id[219],0.7,0.82,-0.86,2.21,0.02,0.01,2849.0,8343.0,1.01
beta_id[220],0.45,0.79,-1.03,1.95,0.01,0.01,3749.0,10777.0,1.0
beta_id[221],-0.88,0.78,-2.34,0.6,0.01,0.01,3462.0,11304.0,1.0
beta_id[222],-0.38,0.79,-1.9,1.09,0.01,0.01,3208.0,9049.0,1.01
beta_id[223],0.23,0.8,-1.27,1.73,0.01,0.01,3117.0,10048.0,1.01
beta_id[224],-2.6,1.02,-4.49,-0.66,0.03,0.02,1600.0,5979.0,1.01
beta_id[225],-0.65,0.8,-2.12,0.87,0.01,0.01,3237.0,10489.0,1.01
beta_id[226],-0.7,0.81,-2.22,0.82,0.02,0.01,2991.0,9116.0,1.01
beta_id[227],-0.6,0.83,-2.13,0.97,0.02,0.01,2584.0,8429.0,1.01
beta_id[228],0.71,0.8,-0.82,2.17,0.01,0.01,3240.0,10081.0,1.01
beta_id[229],0.37,0.79,-1.15,1.84,0.01,0.01,3302.0,10832.0,1.0
beta_id[230],-0.19,0.79,-1.68,1.3,0.01,0.01,3395.0,10812.0,1.0
beta_id[231],2.57,0.86,0.98,4.2,0.02,0.01,2719.0,8597.0,1.01
beta_id[232],-0.63,0.8,-2.11,0.89,0.02,0.01,2913.0,8264.0,1.01
beta_id[233],-0.72,0.78,-2.2,0.74,0.01,0.01,3637.0,12353.0,1.0
beta_id[234],-4.04,1.02,-5.95,-2.1,0.02,0.02,1649.0,6197.0,1.01
beta_id[235],22.11,1.05,20.13,24.08,0.03,0.02,1611.0,6519.0,1.0
beta_id[236],0.77,0.79,-0.72,2.24,0.01,0.01,3466.0,10961.0,1.0
beta_id[237],-0.42,0.8,-1.97,1.03,0.01,0.01,3130.0,9633.0,1.01
beta_id[238],0.58,0.79,-0.88,2.08,0.01,0.01,3297.0,11481.0,1.01
beta_id[239],-1.3,0.79,-2.76,0.21,0.01,0.01,3137.0,10303.0,1.01
beta_id[240],-0.85,0.81,-2.38,0.68,0.02,0.01,2819.0,8743.0,1.01
beta_id[241],-1.38,1.04,-3.3,0.6,0.02,0.02,1678.0,5633.0,1.01
beta_id[242],-1.81,0.85,-3.39,-0.21,0.02,0.01,2929.0,9167.0,1.01
beta_id[243],1.11,0.79,-0.36,2.6,0.01,0.01,3543.0,11552.0,1.0
beta_id[244],-0.16,1.3,-2.57,2.33,0.03,0.02,1492.0,2591.0,1.01
beta_id[245],0.36,0.78,-1.1,1.84,0.01,0.01,3611.0,11338.0,1.0
beta_id[246],4.1,0.79,2.6,5.59,0.01,0.01,3436.0,11205.0,1.01
beta_id[247],-3.4,1.41,-6.11,-0.79,0.04,0.03,1410.0,2466.0,1.01
beta_id[248],0.45,0.8,-1.07,1.94,0.01,0.01,3602.0,12149.0,1.0
beta_id[249],-5.83,1.11,-7.89,-3.7,0.03,0.02,1319.0,5313.0,1.01
beta_id[250],1.96,0.98,0.08,3.8,0.02,0.02,2067.0,4828.0,1.01
